
Linux 5.2.8200225+ (knl03.kisti.re.kr) 	05/30/2020 	_x86_64_	(272 CPU)

03:27:42 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:27:43 AM     all      0.21      0.00      0.39      0.01      0.00     99.39
03:27:44 AM     all      0.52      0.00      0.31      0.00      0.00     99.17
03:27:45 AM     all      0.69      0.00      0.36      0.33      0.00     98.62
03:27:46 AM     all      0.81      0.00      0.35      0.37      0.00     98.47
03:27:47 AM     all      0.59      0.00      0.32      0.37      0.00     98.72
03:27:48 AM     all      0.50      0.00      0.39      0.29      0.00     98.81
03:27:49 AM     all      0.03      0.00      0.14      0.12      0.00     99.72
03:27:50 AM     all      0.04      0.00      0.12      0.01      0.00     99.83
03:27:51 AM     all      0.07      0.00      0.18      0.00      0.00     99.75
03:27:52 AM     all      0.08      0.00      0.16      0.00      0.00     99.75
03:27:53 AM     all      0.41      0.00      0.41      0.03      0.00     99.15
03:27:54 AM     all      0.29      0.00      0.24      0.02      0.00     99.45
03:27:55 AM     all      0.03      0.00      0.15      0.03      0.00     99.78
start----
03:27:56 AM     all      0.06      0.00      0.25      0.06      0.00     99.63
03:27:57 AM     all     72.46      0.00      0.62      0.00      0.00     26.92
03:27:59 AM     all     99.58      0.00      0.42      0.00      0.00      0.00
03:28:01 AM     all     99.45      0.00      0.55      0.00      0.00      0.00
03:28:03 AM     all     99.07      0.00      0.93      0.00      0.00      0.00
03:28:05 AM     all     99.22      0.00      0.78      0.00      0.00      0.00
03:28:06 AM     all     98.71      0.00      1.19      0.00      0.00      0.10
03:28:07 AM     all     93.68      0.00      0.49      0.00      0.00      5.84
03:28:08 AM     all     58.26      0.00      0.27      0.00      0.00     41.47
03:28:09 AM     all      0.38      0.00      0.07      0.00      0.00     99.54
03:28:10 AM     all      0.36      0.00      0.10      0.00      0.00     99.54
03:28:11 AM     all      0.10      0.00      0.40      0.00      0.00     99.50
03:28:12 AM     all      0.08      0.00      0.39      0.00      0.00     99.53
03:28:13 AM     all      0.09      0.00      0.40      0.00      0.00     99.51
03:28:14 AM     all      0.41      0.00      0.56      0.01      0.00     99.03
03:28:15 AM     all      0.11      0.00      0.45      0.00      0.00     99.43
03:28:16 AM     all      0.12      0.00      0.38      0.00      0.00     99.50
03:28:17 AM     all      0.08      0.00      0.41      0.00      0.00     99.51
03:28:18 AM     all      0.10      0.00      0.37      0.00      0.00     99.53
03:28:19 AM     all      0.09      0.00      0.40      0.00      0.00     99.50
03:28:20 AM     all      0.10      0.00      0.38      0.00      0.00     99.53
03:28:21 AM     all      0.08      0.00      0.40      0.00      0.00     99.52
03:28:22 AM     all      0.37      0.00      0.42      0.00      0.00     99.21
03:28:23 AM     all      0.28      0.00      1.07      1.31      0.00     97.34
03:28:24 AM     all      0.29      0.00      1.26      0.59      0.00     97.86
03:28:25 AM     all      0.21      0.00      0.11      0.00      0.00     99.68
03:28:28 AM     all      0.21      0.00      0.43      0.04      0.00     99.33
03:28:29 AM     all      0.52      0.00      0.29      0.00      0.00     99.19
03:28:30 AM     all      0.52      0.00      0.28      0.00      0.00     99.19
03:28:31 AM     all      0.54      0.00      0.27      0.00      0.00     99.19
03:28:32 AM     all      0.36      0.00      0.33      0.01      0.00     99.30
03:28:33 AM     all     91.19      0.00      0.75      0.00      0.00      8.06
03:28:35 AM     all     99.66      0.00      0.34      0.00      0.00      0.00
03:28:37 AM     all     99.67      0.00      0.33      0.00      0.00      0.00
03:28:39 AM     all     99.57      0.00      0.43      0.00      0.00      0.00
03:28:41 AM     all     99.31      0.00      0.68      0.00      0.00      0.01
03:28:42 AM     all     97.86      0.00      1.01      0.00      0.00      1.12
03:28:49 AM     all     17.57      0.00     57.91      0.14      0.00     24.38
03:28:55 AM     all      0.29      0.00      1.20      0.31      0.00     98.20
03:29:04 AM     all      0.27      0.00      1.09      0.39      0.00     98.25
03:29:14 AM     all      0.26      0.00      1.11      0.38      0.00     98.25
03:29:23 AM     all      0.27      0.00      1.13      0.38      0.00     98.22
03:29:32 AM     all      0.28      0.00      1.11      0.38      0.00     98.23
03:29:42 AM     all      0.28      0.00      1.10      0.38      0.00     98.25
03:29:52 AM     all      0.28      0.00      1.09      0.38      0.00     98.24
03:30:01 AM     all      0.30      0.00      1.09      0.39      0.00     98.22
03:30:11 AM     all      0.29      0.00      1.08      0.38      0.00     98.25
03:30:21 AM     all      0.28      0.00      1.09      0.35      0.00     98.28
03:30:27 AM     all      0.37      0.00      1.21      0.00      0.00     98.43
03:30:28 AM     all      0.89      0.00      0.28      0.00      0.00     98.83
03:30:29 AM     all      0.40      0.00      1.18      0.00      0.00     98.42
03:30:30 AM     all      0.22      0.00      1.99      0.00      0.00     97.79
03:30:31 AM     all      0.19      0.00      1.90      0.00      0.00     97.91
03:30:32 AM     all      0.19      0.00      1.97      0.00      0.00     97.84
03:30:33 AM     all      0.28      0.00      1.98      0.03      0.00     97.71
03:30:34 AM     all      0.19      0.00      1.90      0.00      0.00     97.91
03:30:35 AM     all      0.19      0.00      2.00      0.00      0.00     97.82
03:30:36 AM     all      0.20      0.00      1.91      0.00      0.00     97.89
03:30:37 AM     all      0.21      0.00      1.94      0.00      0.00     97.85
03:30:38 AM     all      0.19      0.00      1.91      0.00      0.00     97.90
03:30:39 AM     all      0.19      0.00      1.95      0.00      0.00     97.86
03:30:40 AM     all      0.18      0.00      1.92      0.00      0.00     97.90
03:30:41 AM     all      0.20      0.00      1.95      0.00      0.00     97.86
03:30:42 AM     all      0.20      0.00      1.88      0.00      0.00     97.92
03:30:43 AM     all      0.22      0.00      1.97      0.00      0.00     97.81
03:30:44 AM     all      0.20      0.00      1.84      0.00      0.00     97.95
03:30:45 AM     all      0.19      0.00      1.90      0.00      0.00     97.91
03:30:46 AM     all      0.20      0.00      1.82      0.00      0.00     97.99
03:30:47 AM     all      0.20      0.00      1.95      0.00      0.00     97.85
03:30:48 AM     all      0.20      0.00      1.88      0.00      0.00     97.93
03:30:49 AM     all      0.20      0.00      1.91      0.00      0.00     97.89
03:30:50 AM     all      0.20      0.00      1.85      0.00      0.00     97.95
03:30:51 AM     all      0.21      0.00      1.92      0.00      0.00     97.87
03:30:52 AM     all      0.19      0.00      1.84      0.00      0.00     97.97
