
Linux 5.2.8org200301+ (knl03.kisti.re.kr) 	2020년 05월 29일 	_x86_64_	(272 CPU)

                CPU     %user     %nice   %system   %iowait    %steal     %idle
                all      0.04      0.00      0.28      0.00      0.00     99.68
                all      0.01      0.00      0.43      0.00      0.00     99.55
                all      0.05      0.00      0.51      0.00      0.00     99.44
                all      0.02      0.00      0.22      0.00      0.00     99.76
                all      0.02      0.00      0.08      0.11      0.00     99.78
                all      0.02      0.00      0.08      0.37      0.00     99.53
                all      0.05      0.00      0.13      0.37      0.00     99.45
                all      0.02      0.00      0.08      0.35      0.00     99.55
                all      0.03      0.00      0.15      0.22      0.00     99.60
                all      0.06      0.00      0.16      0.00      0.00     99.79
                all      0.03      0.00      0.10      0.00      0.00     99.86
                all      0.12      0.00      0.29      0.01      0.00     99.58
                all      0.17      0.00      0.31      0.01      0.00     99.51
                all      0.01      0.00      0.07      0.00      0.00     99.92
                all      0.02      0.00      0.07      0.00      0.00     99.90
start----
                all     34.74      0.00      0.64      0.00      0.00     64.61
                all     99.40      0.00      0.60      0.00      0.00      0.00
                all     99.39      0.00      0.61      0.00      0.00      0.00
                all     99.58      0.00      0.42      0.00      0.00      0.00
                all     99.56      0.00      0.41      0.00      0.00      0.03
                all     98.26      0.00      0.54      0.00      0.00      1.20
                all     92.81      0.00      0.31      0.00      0.00      6.88
                all     72.72      0.00      0.17      0.00      0.00     27.11
                all      4.31      0.00      0.14      0.00      0.00     95.55
                all      0.39      0.00      0.07      0.00      0.00     99.54
                all      0.23      0.00      0.21      0.00      0.00     99.55
                all      0.10      0.00      0.40      0.00      0.00     99.50
                all      0.12      0.00      0.40      0.00      0.00     99.47
                all      0.09      0.00      0.36      0.00      0.00     99.54
                all      0.09      0.00      0.36      0.00      0.00     99.55
                all      0.13      0.00      0.41      0.00      0.00     99.46
                all      0.08      0.00      0.35      0.00      0.00     99.56
                all      0.10      0.00      0.36      0.00      0.00     99.54
                all      0.11      0.00      0.43      0.00      0.00     99.46
                all      0.10      0.00      0.38      0.00      0.00     99.52
                all      0.11      0.00      0.39      0.00      0.00     99.50
                all      0.12      0.00      0.43      0.01      0.00     99.44
                all      0.06      0.00      0.85      3.54      0.00     95.55
                all      0.06      0.00      1.00      5.53      0.00     93.42
                all      0.02      0.00      0.36      0.04      0.00     99.58
end------
                all      0.13      0.00      0.49      0.00      0.00     99.38
                all      0.10      0.00      0.46      0.00      0.00     99.44
                all      0.11      0.00      0.46      0.00      0.00     99.43
                all      0.14      0.00      0.55      0.00      0.00     99.31
start----
                all      4.20      0.00      0.67      0.01      0.00     95.12
                all     99.59      0.00      0.41      0.00      0.00      0.00
                all     99.38      0.00      0.62      0.00      0.00      0.00
                all     99.39      0.00      0.61      0.00      0.00      0.00
                all     99.65      0.00      0.35      0.00      0.00      0.00
