
Linux 5.2.8org200301+ (knl03.kisti.re.kr) 	05/30/2020 	_x86_64_	(272 CPU)

01:06:26 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:06:27 AM     all      0.03      0.00      0.27      0.00      0.00     99.69
01:06:28 AM     all      0.05      0.00      0.50      0.00      0.00     99.45
01:06:29 AM     all      0.02      0.00      0.43      0.00      0.00     99.54
01:06:30 AM     all      0.02      0.00      0.08      0.00      0.00     99.90
01:06:31 AM     all      0.05      0.00      0.15      0.36      0.00     99.44
01:06:32 AM     all      0.01      0.00      0.07      0.37      0.00     99.55
01:06:33 AM     all      0.02      0.00      0.07      0.37      0.00     99.54
01:06:34 AM     all      0.05      0.00      0.21      0.19      0.00     99.55
01:06:35 AM     all      0.03      0.00      0.10      0.03      0.00     99.84
01:06:36 AM     all      0.04      0.00      0.11      0.00      0.00     99.84
01:06:37 AM     all      0.12      0.00      0.29      0.00      0.00     99.59
01:06:38 AM     all      0.04      0.00      0.21      0.01      0.00     99.74
01:06:39 AM     all      0.02      0.00      0.08      0.00      0.00     99.90
01:06:40 AM     all      0.01      0.00      0.08      0.00      0.00     99.91
start----
01:06:41 AM     all      0.06      0.00      0.22      0.01      0.00     99.71
01:06:42 AM     all     74.09      0.00      0.58      0.00      0.00     25.32
01:06:44 AM     all     99.61      0.00      0.39      0.00      0.00      0.00
01:06:46 AM     all     99.40      0.00      0.60      0.00      0.00      0.00
01:06:48 AM     all     99.39      0.00      0.61      0.00      0.00      0.00
01:06:50 AM     all     99.58      0.00      0.41      0.00      0.00      0.01
01:06:51 AM     all     99.18      0.00      0.47      0.00      0.00      0.35
01:06:52 AM     all     92.53      0.00      0.62      0.00      0.00      6.86
01:06:53 AM     all     58.73      0.00      0.25      0.00      0.00     41.01
01:06:54 AM     all      0.38      0.00      0.07      0.00      0.00     99.54
01:06:55 AM     all      0.36      0.00      0.10      0.00      0.00     99.55
01:06:56 AM     all      0.12      0.00      0.44      0.00      0.00     99.44
01:06:57 AM     all      0.10      0.00      0.37      0.00      0.00     99.54
01:06:58 AM     all      0.08      0.00      0.38      0.00      0.00     99.54
01:06:59 AM     all      0.13      0.00      0.44      0.00      0.00     99.43
01:07:00 AM     all      0.13      0.00      0.44      0.01      0.00     99.43
01:07:01 AM     all      0.08      0.00      0.36      0.00      0.00     99.55
01:07:02 AM     all      0.13      0.00      0.42      0.00      0.00     99.44
01:07:03 AM     all      0.09      0.00      0.38      0.00      0.00     99.53
01:07:04 AM     all      0.09      0.00      0.36      0.00      0.00     99.54
01:07:05 AM     all      0.08      0.00      0.38      0.00      0.00     99.54
01:07:06 AM     all      0.12      0.00      0.43      0.00      0.00     99.44
01:07:07 AM     all      0.08      0.00      0.37      0.00      0.00     99.54
01:07:08 AM     all      0.18      0.00      2.40      0.00      0.00     97.42
01:07:09 AM     all      0.05      0.00      0.35      0.01      0.00     99.59
end------
01:07:10 AM     all      0.10      0.00      0.41      0.00      0.00     99.49
