
Linux 5.2.8200225+ (knl03.kisti.re.kr) 	2020년 03월 24일 	_x86_64_	(68 CPU)

                CPU     %user     %nice   %system   %iowait    %steal     %idle
                all      0.21      0.00      0.55      0.04      0.00     99.20
                all      0.06      0.00      0.21      0.00      0.00     99.73
                all      0.04      0.00      0.24      0.00      0.00     99.72
                all      0.06      0.00      0.19      0.00      0.00     99.75
start----
                all      6.25      0.00      1.37      0.10      0.00     92.27
                all     12.84      0.00      0.66      0.00      0.00     86.50
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.29      0.00      0.25      0.01      0.00     86.44
                all     13.26      0.00      0.26      0.00      0.00     86.47
                all     13.24      0.00      0.27      0.00      0.00     86.50
                all     13.28      0.00      0.24      0.00      0.00     86.49
                all     13.28      0.00      0.24      0.00      0.00     86.48
                all     13.31      0.00      0.25      0.31      0.00     86.13
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.25      0.00      0.25      0.00      0.00     86.50
                all     13.30      0.00      0.22      0.00      0.00     86.48
                all     13.27      0.00      0.25      0.00      0.00     86.48
                all     13.27      0.00      0.27      0.00      0.00     86.47
                all      7.38      0.00      1.35      4.36      0.00     86.91
                all     11.87      0.00      1.25      0.56      0.00     86.31
                all     13.25      0.00      0.25      0.00      0.00     86.50
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.25      0.00      0.25      0.00      0.00     86.50
                all     13.27      0.00      0.26      0.00      0.00     86.46
                all     13.29      0.00      0.24      0.00      0.00     86.47
                all     13.25      0.00      0.28      0.00      0.00     86.47
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.27      0.00      0.27      0.00      0.00     86.47
                all     13.26      0.00      0.25      0.00      0.00     86.49
                all     13.28      0.00      0.24      0.00      0.00     86.48
                all     12.67      0.00      0.88      0.00      0.00     86.44
                all     13.28      0.00      0.24      0.00      0.00     86.48
                all     13.26      0.00      0.28      0.00      0.00     86.46
                all     13.25      0.00      0.25      0.00      0.00     86.50
                all     13.27      0.00      0.26      0.00      0.00     86.46
                all     13.28      0.00      0.24      0.18      0.00     86.31
                all     13.30      0.00      0.38      0.16      0.00     86.15
                all     13.30      0.00      0.24      0.00      0.00     86.47
                all     13.28      0.00      0.26      0.00      0.00     86.46
                all     13.28      0.00      0.24      0.00      0.00     86.49
                all     13.29      0.00      0.25      0.00      0.00     86.46
                all     12.72      0.00      0.78      0.00      0.00     86.49
                all     13.27      0.00      0.25      0.00      0.00     86.48
                all     13.29      0.00      0.25      0.00      0.00     86.46
                all     13.28      0.00      0.22      0.00      0.00     86.50
                all     13.26      0.00      0.25      0.00      0.00     86.49
                all     13.28      0.00      0.24      0.00      0.00     86.49
                all     13.29      0.00      0.26      0.00      0.00     86.44
                all     13.30      0.00      0.22      0.00      0.00     86.48
                all     13.29      0.00      0.24      0.00      0.00     86.47
