
Linux 5.2.8org200301 (knl03.kisti.re.kr) 	2020년 03월 25일 	_x86_64_	(68 CPU)

                CPU     %user     %nice   %system   %iowait    %steal     %idle
                all      0.18      0.00      0.89      0.01      0.00     98.92
                all      0.04      0.00      0.93      0.04      0.00     98.99
                all      0.06      0.00      0.24      0.00      0.00     99.70
                all      0.04      0.00      0.22      0.00      0.00     99.74
                all      0.07      0.00      0.27      0.01      0.00     99.65
start----
                all      9.71      0.00      1.25      0.10      0.00     88.93
                all     12.93      0.00      0.57      0.00      0.00     86.50
                all     13.28      0.00      0.22      0.00      0.00     86.50
                all     13.27      0.00      0.24      0.28      0.00     86.22
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.31      0.00      0.22      0.00      0.00     86.47
                all     13.25      0.00      0.25      0.00      0.00     86.50
                all     13.28      0.00      0.22      0.00      0.00     86.50
                all     13.25      0.00      0.25      0.00      0.00     86.50
                all     13.29      0.00      0.25      0.00      0.00     86.46
                all     13.33      0.00      0.37      0.01      0.00     86.29
                all     13.26      0.00      0.26      0.00      0.00     86.47
                all     13.25      0.00      0.25      0.00      0.00     86.50
                all     12.68      0.00      0.84      0.00      0.00     86.48
                all     13.30      0.00      0.28      0.09      0.00     86.34
                all     13.28      0.00      0.28      0.18      0.00     86.26
                all     13.27      0.00      0.24      0.00      0.00     86.50
                all     13.28      0.00      0.22      0.00      0.00     86.50
                all     13.29      0.00      0.22      0.00      0.00     86.49
                all     13.27      0.00      0.22      0.00      0.00     86.51
                all     13.30      0.00      0.25      0.00      0.00     86.45
                all     13.26      0.00      0.24      0.00      0.00     86.50
                all     13.28      0.00      0.24      0.00      0.00     86.49
                all     13.28      0.00      0.24      0.00      0.00     86.48
                all     12.63      0.00      0.91      0.00      0.00     86.46
                all     13.27      0.00      0.22      0.00      0.00     86.51
                all     13.25      0.00      0.26      0.00      0.00     86.49
                all     13.28      0.00      0.21      0.00      0.00     86.51
                all     13.26      0.00      0.24      0.00      0.00     86.50
                all     13.28      0.00      0.24      0.00      0.00     86.49
                all     13.31      0.00      0.21      0.00      0.00     86.49
                all     13.25      0.00      0.24      0.00      0.00     86.51
                all     13.32      0.00      0.25      0.00      0.00     86.43
                all     13.26      0.00      0.26      0.00      0.00     86.47
                all     13.30      0.00      0.21      0.00      0.00     86.50
                all     12.65      0.00      0.85      0.00      0.00     86.50
                all     13.28      0.00      0.22      0.00      0.00     86.50
                all     13.28      0.00      0.24      0.00      0.00     86.49
                all     13.28      0.00      0.22      0.00      0.00     86.50
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.27      0.00      0.24      0.00      0.00     86.50
                all     13.30      0.00      0.21      0.00      0.00     86.50
                all     13.25      0.00      0.25      0.00      0.00     86.50
                all     13.30      0.00      0.24      0.00      0.00     86.47
                all     13.28      0.00      0.22      0.00      0.00     86.50
                all     13.28      0.00      0.24      0.00      0.00     86.48
                all     12.69      0.00      0.81      0.00      0.00     86.50
                all     13.28      0.00      0.22      0.00      0.00     86.50
                all     13.26      0.00      0.24      0.00      0.00     86.50
                all     13.29      0.00      0.21      0.00      0.00     86.50
                all     13.28      0.00      0.24      0.00      0.00     86.49
                all     13.27      0.00      0.24      0.00      0.00     86.50
                all     13.27      0.00      0.24      0.00      0.00     86.50
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.27      0.00      0.25      0.00      0.00     86.48
                all     13.27      0.00      0.24      0.00      0.00     86.50
                all     13.28      0.00      0.29      0.04      0.00     86.39
                all     12.68      0.00      1.05      0.03      0.00     86.24
                all     13.28      0.00      0.38      0.00      0.00     86.36
                all     13.26      0.00      0.25      0.00      0.00     86.49
