
Linux 5.2.8org200301+ (knl03.kisti.re.kr) 	2020년 05월 29일 	_x86_64_	(272 CPU)

                CPU     %user     %nice   %system   %iowait    %steal     %idle
                all      0.07      0.00      0.34      0.00      0.00     99.59
                all      0.01      0.00      0.43      0.00      0.00     99.55
                all      0.02      0.00      0.44      0.00      0.00     99.54
                all      0.05      0.00      0.16      0.00      0.00     99.79
                all      0.03      0.00      0.08      0.24      0.00     99.65
                all      0.01      0.00      0.06      0.36      0.00     99.56
                all      0.06      0.00      0.13      0.34      0.00     99.46
                all      0.02      0.00      0.11      0.26      0.00     99.61
                all      0.03      0.00      0.13      0.14      0.00     99.69
                all      0.05      0.00      0.16      0.00      0.00     99.79
                all      0.07      0.00      0.17      0.00      0.00     99.75
                all      0.08      0.00      0.23      0.01      0.00     99.68
                all      0.02      0.00      0.07      0.00      0.00     99.91
                all      0.05      0.00      0.15      0.00      0.00     99.80
                all      0.02      0.00      0.07      0.00      0.00     99.92
start----
                all     40.61      0.00      0.62      0.00      0.00     58.77
                all     99.46      0.00      0.54      0.00      0.00      0.00
                all     99.34      0.00      0.66      0.00      0.00      0.00
                all     99.51      0.00      0.49      0.00      0.00      0.00
                all     99.69      0.00      0.31      0.00      0.00      0.00
                all     97.58      0.00      0.65      0.00      0.00      1.76
                all     79.90      0.00      0.44      0.00      0.00     19.66
                all     16.66      0.00      0.08      0.00      0.00     83.25
                all      0.39      0.00      0.08      0.00      0.00     99.53
                all      0.23      0.00      0.33      0.00      0.00     99.44
                all      0.09      0.00      0.40      0.01      0.00     99.50
                all      0.17      0.00      0.49      0.00      0.00     99.34
                all      0.09      0.00      0.36      0.00      0.00     99.55
                all      0.13      0.00      0.44      0.01      0.00     99.42
                all      0.09      0.00      0.37      0.01      0.00     99.54
                all      0.10      0.00      0.36      0.00      0.00     99.54
                all      0.13      0.00      0.44      0.01      0.00     99.43
                all      0.08      0.00      0.38      0.01      0.00     99.52
                all      0.10      0.00      0.38      0.00      0.00     99.52
                all      0.13      0.00      0.43      0.01      0.00     99.43
                all      0.08      0.00      0.37      0.01      0.00     99.54
                all      0.14      0.00      1.75      1.84      0.00     96.27
                all      0.04      0.00      0.31      0.00      0.00     99.65
end------
                all      0.12      0.00      0.40      0.00      0.00     99.48
                all      0.12      0.00      0.45      0.00      0.00     99.42
                all      0.11      0.00      0.46      0.00      0.00     99.43
start----
                all      0.14      0.00      0.46      0.01      0.00     99.39
                all     74.67      0.00      0.56      0.00      0.00     24.77
                all     99.48      0.00      0.52      0.00      0.00      0.00
                all     99.09      0.00      0.91      0.00      0.00      0.00
                all     99.18      0.00      0.82      0.00      0.00      0.00
                all     99.64      0.00      0.36      0.00      0.00      0.00
                all     98.88      0.00      0.50      0.00      0.00      0.63
                all     88.59      0.00      0.74      0.00      0.00     10.66
                all     43.34      0.00      0.15      0.00      0.00     56.51
                all      0.38      0.00      0.07      0.00      0.00     99.55
                all      0.30      0.00      0.63      0.00      0.00     99.07
                all      0.15      0.00      3.96      0.39      0.00     95.49
                all      0.02      0.00      0.21      0.01      0.00     99.76
end------
                all      0.10      0.00      0.38      0.00      0.00     99.52
                all      0.14      0.00      0.55      0.00      0.00     99.31
                all      0.12      0.00      0.45      0.00      0.00     99.43
start----
                all      0.10      0.00      0.40      0.01      0.00     99.50
                all     72.48      0.00      0.65      0.00      0.00     26.87
                all     99.33      0.00      0.67      0.00      0.00      0.00
                all     99.38      0.00      0.62      0.00      0.00      0.00
                all     99.48      0.00      0.44      0.00      0.00      0.08
                all     99.54      0.00      0.43      0.00      0.00      0.03
                all     98.30      0.00      0.41      0.00      0.00      1.29
                all     96.92      0.00      0.27      0.00      0.00      2.81
                all     94.92      0.00      0.30      0.00      0.00      4.78
                all     78.65      0.00      0.20      0.00      0.00     21.16
                all      7.85      0.00      0.15      0.00      0.00     92.00
                all      0.38      0.00      0.08      0.00      0.00     99.54
                all      0.19      0.00      2.04      0.11      0.00     97.66
                all      0.16      0.00      2.40      0.52      0.00     96.92
                all      0.02      0.00      0.20      0.00      0.00     99.78
end------
                all      0.09      0.00      0.38      0.00      0.00     99.54
                all      0.13      0.00      0.50      0.00      0.00     99.37
                all      0.13      0.00      0.51      0.00      0.00     99.37
start----
                all      0.10      0.00      0.39      0.01      0.00     99.50
                all     82.31      0.00      0.69      0.00      0.00     17.00
                all     99.36      0.00      0.64      0.00      0.00      0.00
                all     99.16      0.00      0.84      0.00      0.00      0.00
                all     99.60      0.00      0.40      0.00      0.00      0.00
                all     99.62      0.00      0.38      0.00      0.00      0.00
                all     98.59      0.00      0.90      0.00      0.00      0.51
                all     92.00      0.00      1.17      0.00      0.00      6.83
                all     55.93      0.00      0.19      0.00      0.00     43.88
                all      0.39      0.00      0.07      0.00      0.00     99.54
                all      0.38      0.00      0.16      0.00      0.00     99.46
                all      0.11      0.00      0.35      0.00      0.00     99.54
                all      0.07      0.00      0.36      0.01      0.00     99.56
                all      0.08      0.00      0.46      0.00      0.00     99.45
                all      0.13      0.00      0.41      0.00      0.00     99.46
                all      0.08      0.00      0.36      0.00      0.00     99.56
                all      0.10      0.00      0.34      0.00      0.00     99.55
                all      0.13      0.00      0.39      0.02      0.00     99.46
                all      0.09      0.00      0.40      0.00      0.00     99.53
                all      0.11      0.00      0.33      0.00      0.00     99.56
                all      0.11      0.00      0.43      0.01      0.00     99.45
                all      0.10      0.00      0.35      0.00      0.00     99.55
                all      0.12      0.00      0.42      0.01      0.00     99.46
                all      0.10      0.00      0.39      0.01      0.00     99.49
                all      0.13      0.00      0.37      0.00      0.00     99.50
                all      0.07      0.00      0.37      0.00      0.00     99.56
                all      0.10      0.00      0.33      0.00      0.00     99.57
                all      0.13      0.00      0.43      0.00      0.00     99.44
                all      0.09      0.00      0.35      0.02      0.00     99.54
                all      0.11      0.00      0.33      0.00      0.00     99.56
                all      0.11      0.00      0.42      0.00      0.00     99.47
                all      0.11      0.00      0.34      0.00      0.00     99.55
                all      0.09      0.00      0.33      0.00      0.00     99.58
                all      0.10      0.00      0.40      0.00      0.00     99.50
                all      0.11      0.00      5.66      2.47      0.00     91.76
                all      0.12      0.00      1.70      6.04      0.00     92.14
                all      0.02      0.00      0.38      0.00      0.00     99.59
end------
                all      0.14      0.00      0.47      0.00      0.00     99.38
                all      0.12      0.00      0.45      0.00      0.00     99.43
                all      0.11      0.00      0.45      0.00      0.00     99.44
                all      0.16      0.00      0.52      0.00      0.00     99.32
start----
                all     28.37      0.00      0.62      0.01      0.00     71.00
                all     99.62      0.00      0.38      0.00      0.00      0.00
                all     99.38      0.00      0.62      0.00      0.00      0.00
                all     99.34      0.00      0.66      0.00      0.00      0.00
                all     99.62      0.00      0.38      0.00      0.00      0.00
                all     99.49      0.00      0.42      0.00      0.00      0.08
                all     97.92      0.00      0.56      0.00      0.00      1.53
                all     86.98      0.00      0.40      0.00      0.00     12.62
                all     40.07      0.00      0.11      0.00      0.00     59.82
                all      0.38      0.00      0.12      0.00      0.00     99.50
                all      0.31      0.00      0.17      0.00      0.00     99.52
                all      0.09      0.00      3.85      4.86      0.00     91.19
                all      0.08      0.00      1.72      4.04      0.00     94.16
                all      0.13      0.00      1.15      1.95      0.00     96.76
end------
                all      0.03      0.00      0.34      0.01      0.00     99.62
                all      0.12      0.00      0.68      0.00      0.00     99.21
                all      0.12      0.00      0.80      0.00      0.00     99.08
                all      0.16      0.00      0.54      0.00      0.00     99.30
start----
                all      0.10      0.00      0.37      0.00      0.00     99.53
                all     47.22      0.00      0.58      0.00      0.00     52.19
                all     99.45      0.00      0.55      0.00      0.00      0.00
                all     98.99      0.00      1.01      0.00      0.00      0.00
                all     99.51      0.00      0.49      0.00      0.00      0.00
                all     99.67      0.00      0.33      0.00      0.00      0.00
                all     96.92      0.00      0.61      0.00      0.00      2.47
                all     75.56      0.00      0.21      0.00      0.00     24.23
                all      8.31      0.00      0.09      0.00      0.00     91.61
                all      0.42      0.00      0.14      0.00      0.00     99.44
                all      0.13      0.00      3.65      0.22      0.00     96.00
                all      0.14      0.00      2.05      4.42      0.00     93.38
                all      0.06      0.00      0.64      0.70      0.00     98.61
end------
                all      0.09      0.00      0.44      0.01      0.00     99.46
                all      0.14      0.00      0.53      0.00      0.00     99.32
                all      0.12      0.00      0.46      0.00      0.00     99.42
                all      0.16      0.00      0.53      0.00      0.00     99.31
start----
                all      5.66      0.00      0.70      0.00      0.00     93.63
                all     99.57      0.00      0.43      0.00      0.00      0.00
                all     99.32      0.00      0.68      0.00      0.00      0.00
                all     99.18      0.00      0.82      0.00      0.00      0.00
                all     99.23      0.00      0.58      0.00      0.00      0.19
                all     91.26      0.00      0.57      0.00      0.00      8.17
                all     71.48      0.00      0.23      0.00      0.00     28.29
                all      4.39      0.00      0.09      0.00      0.00     95.52
                all      0.39      0.00      0.06      0.00      0.00     99.55
                all      0.22      0.00      0.34      0.00      0.00     99.44
                all      0.08      0.00      0.37      0.01      0.00     99.54
                all      0.08      0.00      0.36      0.03      0.00     99.54
                all      0.17      0.00      0.39      0.00      0.00     99.44
                all      0.10      0.00      0.33      0.02      0.00     99.54
                all      0.08      0.00      0.36      0.03      0.00     99.54
                all      0.11      0.00      0.41      0.02      0.00     99.45
                all      0.13      0.00      0.33      0.00      0.00     99.54
                all      0.09      0.00      0.35      0.03      0.00     99.53
                all      0.08      0.00      0.35      0.00      0.00     99.57
                all      0.14      0.00      0.51      0.01      0.00     99.34
                all      0.10      0.00      0.55      0.01      0.00     99.35
                all      0.08      0.00      0.41      0.01      0.00     99.50
                all      0.15      0.00      0.37      0.03      0.00     99.46
                all      0.12      0.00      0.35      0.00      0.00     99.53
                all      0.07      0.00      0.38      0.03      0.00     99.52
                all      0.11      0.00      0.42      0.03      0.00     99.44
                all      0.12      0.00      0.33      0.00      0.00     99.55
                all      0.10      0.00      0.34      0.03      0.00     99.53
                all      0.11      0.00      0.39      0.03      0.00     99.47
                all      0.11      0.00      0.37      0.03      0.00     99.49
                all      0.12      0.00      0.33      0.00      0.00     99.55
