,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,42.51,33.35,24.2,13.1,51.1,45.68,28.04,19.55,49.03,41.71,31.56,19.86,45.23,36.67,27.87,19.08
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,0.64,0.73,0.89,0.66,0.7,1.0,1.1,1.15,0.9,1.46,1.4,2.25,1.77,2.72,2.6,3.94
iowait,0.05,0.41,0.52,1.26,0.45,0.32,1.54,1.99,0.51,1.3,1.33,3.14,0.97,1.82,4.31,2.4
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,56.8,65.51,74.39,84.98,47.75,53.01,69.31,77.32,49.55,55.54,65.72,74.76,52.03,58.78,65.22,74.58
throughputR,3221.1,2184.37,2188.1,1258.4,2256.4,2897.37,2347.17,1613.87,2671.13,1965.9,2602.63,1859.1,1676.1,1975.67,1883.47,2406.03
throughputW,3221.1,1698.9,1945.9,1101.63,2119.7,2897.37,1825.8,1435.1,2671.13,1847.07,2602.63,1446.53,2155.03,1975.67,1769.17,2406.03
latency(x1M),625.0,799.0,1601.0,2978.0,448.0,1007.0,1662.0,3017.0,1898.0,2140.0,4147.0,6940.0,11300.0,11638.0,12435.0,110426.0
m_count,43988.0,100454.0,210876.0,499429.0,40571.0,63354.0,177897.0,410625.0,49133.0,78345.0,152035.0,431152.0,61586.0,94511.0,183149.0,400329.0
